time,one,two
1592250491999.973,3.863343083793036,0
1592250502000.8528,29.05155347950062,25.188210395707582
1592250511995.9402,64.90225843422422,35.850704954723604
1592250521907.7957,35.101674507707315,-29.800583926516907
1592250531958.7983,53.965040360464,18.863365852756687
1592250541999.4128,43.31087606203771,-10.654164298426295
1592250551987.2368,67.76766225726678,24.45678619522907
1592250561916.2224,58.91724400213194,-8.85041825513484
1592250571937.302,64.39627234588062,5.479028343748681
1592250581914.8613,96.41980540779943,32.02353306191881
1592250591959.91,83.4956897064981,-12.924115701301332
1592250602002.6792,89.29918202473351,5.8034923182354134
1592250611980.193,127.3701272677448,38.070945243011295
1592250621972.136,131.53062096560495,4.160493697860147
1592250631908.0818,133.66169583708373,2.1310748714787735
1592250641999.0237,93.83517130075063,-39.826524536333096
1592250651978.02,115.6700888095121,21.834917508761464
1592250662003.2505,108.36650588093624,-7.30358292857585
1592250671950.9492,144.42374083164185,36.057234950705606
1592250681925.8862,143.80187340640765,-0.6218674252341998
1592250692004.1423,161.68563340217042,17.883759995762773
1592250701968.076,134.02548024086985,-27.66015316130057
1592250711999.969,137.90698904235782,3.8815088014879677
1592250721990.9875,173.4945480361905,35.58755899383269
1592250731949.857,163.3742590560227,-10.1202889801678
1592250741959.7793,173.081226171899,9.706967115876296
1592250751951.8074,172.86968788076393,-0.21153829113507072
1592250761979.278,141.85641195501975,-31.013275925744182
1592250772004.7007,170.84596817419262,28.98955621917287
1592250781921.4675,178.10659354321083,7.260625369018214
1592250791918.7834,195.36815424359435,17.261560700383512
1592250801930.629,164.85828162799518,-30.509872615599164
1592250811980.951,204.1871643257415,39.32888269774631
1592250821941.2595,172.97476049205102,-31.212403833690473
1592250831927.112,167.95399775222597,-5.020762739825045
1592250841952.6528,210.36103872524103,42.40704097301506
1592250851963.3643,215.15468580974994,4.793647084508905
1592250861937.1733,165.42650646863564,-49.7281793411143
1592250872003.5398,222.41578019462133,56.9892737259857
1592250881919.5193,214.03885439301098,-8.376925801610355
1592250891909.4644,207.88417429312264,-6.154680099888338
